"","transition","knots","ICCC_regroup"
"1","model_Diagnosis_CRE",NA,"ALL"
"2","model_Diagnosis_Death",-5.90058205063081,"ALL"
"3","model_Diagnosis_Death",1.6,"ALL"
"4","model_Diagnosis_Death",3.21,"ALL"
"5","model_Diagnosis_Death",3.82861163679859,"ALL"
"6","model_CRE_Death",NA,"ALL"
"7","model_Diagnosis_CRE",NA,"AML and other leukemias"
"8","model_Diagnosis_Death",-5.90058205063081,"AML and other leukemias"
"9","model_Diagnosis_Death",1.6,"AML and other leukemias"
"10","model_Diagnosis_Death",3.21,"AML and other leukemias"
"11","model_Diagnosis_Death",3.55778958816736,"AML and other leukemias"
"12","model_CRE_Death",NA,"AML and other leukemias"
"13","model_Diagnosis_CRE",NA,"Astrocytoma"
"14","model_Diagnosis_Death",-5.90058205063081,"Astrocytoma"
"15","model_Diagnosis_Death",1.6,"Astrocytoma"
"16","model_Diagnosis_Death",3.21,"Astrocytoma"
"17","model_Diagnosis_Death",3.78107359001591,"Astrocytoma"
"18","model_CRE_Death",NA,"Astrocytoma"
"19","model_Diagnosis_CRE",NA,"Bone tumours"
"20","model_Diagnosis_Death",-2.90484977707682,"Bone tumours"
"21","model_Diagnosis_Death",1.6,"Bone tumours"
"22","model_Diagnosis_Death",3.21,"Bone tumours"
"23","model_Diagnosis_Death",3.80689061797936,"Bone tumours"
"24","model_CRE_Death",NA,"Bone tumours"
"25","model_Diagnosis_CRE",NA,"Germ cell tumours"
"26","model_Diagnosis_Death",-5.90058197288081,"Germ cell tumours"
"27","model_Diagnosis_Death",1.6,"Germ cell tumours"
"28","model_Diagnosis_Death",3.21,"Germ cell tumours"
"29","model_Diagnosis_Death",3.74878714629168,"Germ cell tumours"
"30","model_CRE_Death",NA,"Germ cell tumours"
"31","model_Diagnosis_CRE",NA,"Hepatic tumours"
"32","model_Diagnosis_Death",NA,"Hepatic tumours"
"33","model_CRE_Death",NA,"Hepatic tumours"
"34","model_Diagnosis_CRE",NA,"Hodgkin lymphomas"
"35","model_Diagnosis_Death",-5.90058197288081,"Hodgkin lymphomas"
"36","model_Diagnosis_Death",1.6,"Hodgkin lymphomas"
"37","model_Diagnosis_Death",3.21,"Hodgkin lymphomas"
"38","model_Diagnosis_Death",3.89837797255138,"Hodgkin lymphomas"
"39","model_CRE_Death",NA,"Hodgkin lymphomas"
"40","model_Diagnosis_CRE",NA,"Neuroblastoma"
"41","model_Diagnosis_Death",-5.90058205063081,"Neuroblastoma"
"42","model_Diagnosis_Death",1.6,"Neuroblastoma"
"43","model_Diagnosis_Death",3.21,"Neuroblastoma"
"44","model_Diagnosis_Death",3.84467149664042,"Neuroblastoma"
"45","model_CRE_Death",NA,"Neuroblastoma"
"46","model_Diagnosis_CRE",NA,"Non-Hodgkin lymphomas and other lymphomas"
"47","model_Diagnosis_Death",-5.90058205063081,"Non-Hodgkin lymphomas and other lymphomas"
"48","model_Diagnosis_Death",1.6,"Non-Hodgkin lymphomas and other lymphomas"
"49","model_Diagnosis_Death",3.21,"Non-Hodgkin lymphomas and other lymphomas"
"50","model_Diagnosis_Death",3.81934317567523,"Non-Hodgkin lymphomas and other lymphomas"
"51","model_CRE_Death",NA,"Non-Hodgkin lymphomas and other lymphomas"
"52","model_Diagnosis_CRE",NA,"Other CNS neoplasms"
"53","model_Diagnosis_Death",-5.90058205063081,"Other CNS neoplasms"
"54","model_Diagnosis_Death",1.6,"Other CNS neoplasms"
"55","model_Diagnosis_Death",3.21,"Other CNS neoplasms"
"56","model_Diagnosis_Death",3.90689007347163,"Other CNS neoplasms"
"57","model_CRE_Death",NA,"Other CNS neoplasms"
"58","model_Diagnosis_CRE",NA,"Other epithelial and unspecified neoplasms"
"59","model_Diagnosis_Death",-5.90058197288081,"Other epithelial and unspecified neoplasms"
"60","model_Diagnosis_Death",1.6,"Other epithelial and unspecified neoplasms"
"61","model_Diagnosis_Death",3.21,"Other epithelial and unspecified neoplasms"
"62","model_Diagnosis_Death",3.86651287699976,"Other epithelial and unspecified neoplasms"
"63","model_CRE_Death",NA,"Other epithelial and unspecified neoplasms"
"64","model_Diagnosis_CRE",NA,"Renal tumours"
"65","model_Diagnosis_Death",-5.90058205063081,"Renal tumours"
"66","model_Diagnosis_Death",1.6,"Renal tumours"
"67","model_Diagnosis_Death",3.21,"Renal tumours"
"68","model_Diagnosis_Death",3.87858866739794,"Renal tumours"
"69","model_CRE_Death",NA,"Renal tumours"
"70","model_Diagnosis_CRE",NA,"Retinoblastoma"
"71","model_Diagnosis_Death",-1.01778012804444,"Retinoblastoma"
"72","model_Diagnosis_Death",1.6,"Retinoblastoma"
"73","model_Diagnosis_Death",3.21,"Retinoblastoma"
"74","model_Diagnosis_Death",3.77619308977656,"Retinoblastoma"
"75","model_CRE_Death",NA,"Retinoblastoma"
"76","model_Diagnosis_CRE",NA,"Soft tissue sarcomas"
"77","model_Diagnosis_Death",-5.90058197288081,"Soft tissue sarcomas"
"78","model_Diagnosis_Death",1.6,"Soft tissue sarcomas"
"79","model_Diagnosis_Death",3.21,"Soft tissue sarcomas"
"80","model_Diagnosis_Death",3.78356720143209,"Soft tissue sarcomas"
"81","model_CRE_Death",NA,"Soft tissue sarcomas"
