REF_DATE,Sex,Age group,VALUE
1971,Males,0 years,65775
1972,Males,0 years,64372
1973,Males,0 years,63152
1974,Males,0 years,61782
1975,Males,0 years,63902
1976,Males,0 years,61624
1977,Males,0 years,61837
1978,Males,0 years,61491
1979,Males,0 years,61619
1980,Males,0 years,61851
1981,Males,0 years,62454
1982,Males,0 years,62322
1983,Males,0 years,64907
1984,Males,0 years,64952
1985,Males,0 years,67219
1986,Males,0 years,67072
1987,Males,0 years,69003
1988,Males,0 years,69527
1989,Males,0 years,72468
1990,Males,0 years,77099
1991,Males,0 years,78720
1992,Males,0 years,77964
1993,Males,0 years,76414
1994,Males,0 years,75375
1995,Males,0 years,75980
1996,Males,0 years,75285
1997,Males,0 years,69788
1998,Males,0 years,68347
1999,Males,0 years,67228
2000,Males,0 years,68230
2001,Males,0 years,66107
2002,Males,0 years,66216
2003,Males,0 years,66423
2004,Males,0 years,68825
2005,Males,0 years,68842
2006,Males,0 years,68454
2007,Males,0 years,69995
2008,Males,0 years,71915
2009,Males,0 years,71875
2010,Males,0 years,71744
2011,Males,0 years,71460
2012,Males,0 years,72083
2013,Males,0 years,71888
2014,Males,0 years,71506
2015,Males,0 years,71540
2016,Males,0 years,71885
2017,Males,0 years,72093
2018,Males,0 years,72556
2019,Males,0 years,71764
2020,Males,0 years,71662
2021,Males,0 years,69811
1971,Males,1 year,65824
1972,Males,1 year,66343
1973,Males,1 year,64523
1974,Males,1 year,63245
1975,Males,1 year,61493
1976,Males,1 year,62628
1977,Males,1 year,61857
1978,Males,1 year,61804
1979,Males,1 year,61141
1980,Males,1 year,61288
1981,Males,1 year,61982
1982,Males,1 year,62935
1983,Males,1 year,62756
1984,Males,1 year,65330
1985,Males,1 year,65199
1986,Males,1 year,67102
1987,Males,1 year,68132
1988,Males,1 year,69717
1989,Males,1 year,70443
1990,Males,1 year,73389
1991,Males,1 year,78040
1992,Males,1 year,79129
1993,Males,1 year,78358
1994,Males,1 year,76952
1995,Males,1 year,76082
1996,Males,1 year,77076
1997,Males,1 year,75977
1998,Males,1 year,70782
1999,Males,1 year,69695
2000,Males,1 year,69094
2001,Males,1 year,70702
2002,Males,1 year,67453
2003,Males,1 year,67428
2004,Males,1 year,67934
2005,Males,1 year,70711
2006,Males,1 year,70822
2007,Males,1 year,69367
2008,Males,1 year,71071
2009,Males,1 year,72960
2010,Males,1 year,72879
2011,Males,1 year,72659
2012,Males,1 year,72251
2013,Males,1 year,72871
2014,Males,1 year,72546
2015,Males,1 year,71975
2016,Males,1 year,72598
2017,Males,1 year,72668
2018,Males,1 year,73052
2019,Males,1 year,73594
2020,Males,1 year,72828
2021,Males,1 year,71900
1971,Males,2 years,64204
1972,Males,2 years,66445
1973,Males,2 years,66990
1974,Males,2 years,64964
1975,Males,2 years,63397
1976,Males,2 years,61637
1977,Males,2 years,63088
1978,Males,2 years,62115
1979,Males,2 years,61592
1980,Males,2 years,60922
1981,Males,2 years,60853
1982,Males,2 years,62457
1983,Males,2 years,63522
1984,Males,2 years,63236
1985,Males,2 years,65908
1986,Males,2 years,65790
1987,Males,2 years,68345
1988,Males,2 years,69624
1989,Males,2 years,70788
1990,Males,2 years,71403
1991,Males,2 years,74622
1992,Males,2 years,78674
1993,Males,2 years,79346
1994,Males,2 years,78520
1995,Males,2 years,77390
1996,Males,2 years,76843
1997,Males,2 years,77848
1998,Males,2 years,76724
1999,Males,2 years,71893
2000,Males,2 years,71374
2001,Males,2 years,71408
2002,Males,2 years,71774
2003,Males,2 years,68601
2004,Males,2 years,68739
2005,Males,2 years,69484
2006,Males,2 years,72097
2007,Males,2 years,71362
2008,Males,2 years,70325
2009,Males,2 years,72125
2010,Males,2 years,74181
2011,Males,2 years,73865
2012,Males,2 years,73492
2013,Males,2 years,72968
2014,Males,2 years,73535
2015,Males,2 years,73161
